,30001.5,30106,30107.5,30108,30108.2,30210,30211,30212,30212.5,30213,30214,30220,30221,30222,30223,30224,30230,30231,30232,30233,30235,30240,30244,30250,30251,30252,30253,30503,30513,30519,30600.5,30601,30604,30610,30624
30210,55,159,123,108,65,0,980,756,195,529,325,1485,300,132,242,364,1018,1041,78,286,419,395,79,133,424,1130,511,58,65,78,153,64,318,212,291
30211,17,96,65,56,49,980,0,625,163,442,233,319,273,117,188,80,268,280,51,101,106,211,69,94,259,148,162,49,52,58,18,49,153,83,46
30212,24,71,72,47,28,756,625,0,105,256,151,241,176,77,138,69,203,188,50,95,81,159,57,66,207,133,99,38,36,26,23,4,230,100,32
30212.5,8,25,26,7,7,195,163,105,0,170,71,44,63,32,109,14,53,48,20,19,13,37,9,23,50,56,44,31,19,8,8,8,49,24,6
30213,13,39,32,9,13,529,442,256,170,0,110,246,209,111,191,76,179,186,33,63,44,150,13,45,145,129,109,42,34,38,15,27,91,44,11
30214,19,66,32,44,19,325,233,151,71,110,0,168,69,45,264,128,252,171,25,30,66,68,38,28,86,204,181,18,15,12,8,9,15,38,46
